ID,year,Gender,approv_in_adv,loan_type,loan_purpose,open_credit,business_or_commercial,loan_amount,rate_of_interest,term,lump_sum_payment,property_value,construction_type,occupancy_type,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,Region,Status
24900,2019,Male,nopre,type2,p3,nopc,b/c,136500,,300.0,not_lpsm,168000.0,sb,pr,1U,4020.0,EXP,723.0,CIB,55-64,to_inst,North,1
24901,2019,Sex Not Available,nopre,type1,p3,nopc,nob/c,466500,4.375,360.0,not_lpsm,708000.0,sb,pr,1U,9540.0,EXP,501.0,EXP,35-44,to_inst,south,0
24902,2019,Joint,nopre,type2,p3,nopc,b/c,206500,,360.0,not_lpsm,258000.0,sb,pr,1U,3780.0,CRIF,884.0,EXP,65-74,to_inst,North,1
24903,2019,Joint,nopre,type2,p4,nopc,b/c,436500,3.625,360.0,not_lpsm,508000.0,sb,pr,1U,,CRIF,520.0,EXP,55-64,to_inst,North,1
24904,2019,Female,nopre,type1,p4,nopc,nob/c,226500,4.5,360.0,not_lpsm,298000.0,sb,pr,1U,7860.0,CIB,773.0,CIB,35-44,to_inst,North,1
24905,2019,Male,nopre,type1,p4,nopc,nob/c,76500,,360.0,not_lpsm,138000.0,sb,pr,1U,2220.0,EXP,685.0,CIB,45-54,not_inst,North,0
24906,2019,Joint,nopre,type2,p1,nopc,b/c,356500,,360.0,not_lpsm,368000.0,sb,pr,1U,5340.0,CRIF,846.0,EXP,25-34,not_inst,North,0
24907,2019,Male,pre,type1,p3,nopc,nob/c,156500,,360.0,not_lpsm,168000.0,sb,pr,1U,3120.0,CRIF,534.0,CIB,65-74,to_inst,North,1
24908,2019,Female,nopre,type1,p1,nopc,nob/c,406500,4.56,360.0,not_lpsm,598000.0,sb,pr,1U,5340.0,CIB,629.0,CIB,45-54,not_inst,North,0
24909,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,586500,3.175,360.0,not_lpsm,748000.0,sb,sr,1U,12540.0,CIB,688.0,EXP,55-64,to_inst,south,0
24910,2019,Joint,nopre,type1,p3,nopc,nob/c,306500,2.99,180.0,not_lpsm,558000.0,sb,pr,1U,16860.0,EXP,668.0,EXP,65-74,to_inst,North,0
24911,2019,Female,nopre,type1,p3,nopc,nob/c,136500,3.99,360.0,not_lpsm,198000.0,sb,pr,1U,2100.0,EXP,758.0,CIB,>74,to_inst,North,1
24912,2019,Male,pre,type1,p3,nopc,nob/c,306500,,360.0,not_lpsm,448000.0,sb,pr,1U,2880.0,EXP,692.0,CIB,55-64,to_inst,south,0
24913,2019,Female,nopre,type1,p3,nopc,nob/c,316500,3.625,360.0,not_lpsm,508000.0,sb,pr,1U,2760.0,CIB,620.0,CIB,65-74,not_inst,south,0
24914,2019,Male,nopre,type1,p3,nopc,nob/c,336500,4.5,360.0,not_lpsm,428000.0,sb,pr,1U,4980.0,CIB,846.0,CIB,35-44,not_inst,south,1
24915,2019,Joint,nopre,type1,p3,nopc,nob/c,426500,4.99,360.0,not_lpsm,568000.0,sb,pr,1U,8940.0,EXP,533.0,EXP,45-54,not_inst,North,1
24916,2019,Joint,nopre,type3,p1,nopc,nob/c,476500,,360.0,not_lpsm,,sb,pr,1U,6780.0,EQUI,518.0,EXP,45-54,to_inst,south,1
24917,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,196500,5.25,360.0,not_lpsm,258000.0,sb,pr,1U,3840.0,EXP,812.0,EXP,25-34,to_inst,south,1
24918,2019,Female,nopre,type1,p1,nopc,nob/c,186500,4.25,360.0,not_lpsm,218000.0,sb,pr,1U,3840.0,CRIF,534.0,CIB,55-64,to_inst,central,0
24919,2019,Female,nopre,type1,p1,nopc,nob/c,436500,3.625,360.0,not_lpsm,468000.0,sb,pr,1U,4920.0,CIB,647.0,EXP,35-44,not_inst,south,0
24920,2019,Male,nopre,type2,p1,nopc,b/c,246500,4.25,360.0,not_lpsm,258000.0,sb,pr,1U,5400.0,EXP,683.0,CIB,25-34,not_inst,North,1
24921,2019,Male,nopre,type3,p4,nopc,nob/c,216500,2.99,360.0,not_lpsm,228000.0,sb,pr,1U,,CIB,705.0,CIB,55-64,to_inst,North,0
24922,2019,Male,nopre,type1,p1,nopc,nob/c,306500,4.125,360.0,not_lpsm,318000.0,sb,pr,1U,5580.0,EXP,701.0,CIB,35-44,not_inst,North,1
24923,2019,Male,pre,type1,p1,nopc,nob/c,316500,3.75,360.0,not_lpsm,338000.0,sb,pr,1U,3720.0,EXP,591.0,CIB,45-54,to_inst,North,1
24924,2019,Male,pre,type1,p1,nopc,nob/c,506500,4.25,360.0,not_lpsm,538000.0,sb,pr,1U,7500.0,CIB,647.0,CIB,25-34,not_inst,North,1
24925,2019,Female,nopre,type1,p3,nopc,nob/c,266500,4.99,360.0,not_lpsm,408000.0,sb,pr,1U,3540.0,EXP,889.0,CIB,45-54,not_inst,south,0
24926,2019,Male,nopre,type1,p1,nopc,nob/c,406500,4.0,360.0,not_lpsm,1018000.0,sb,ir,1U,9180.0,EXP,651.0,CIB,55-64,not_inst,south,0
24927,2019,Joint,nopre,type1,p4,nopc,nob/c,656500,3.375,360.0,not_lpsm,1108000.0,sb,pr,1U,9660.0,EXP,716.0,EXP,45-54,not_inst,North,0
24928,2019,Male,pre,type1,p4,nopc,nob/c,256500,,180.0,not_lpsm,418000.0,sb,pr,1U,3780.0,EXP,780.0,EXP,65-74,to_inst,central,1
24929,2019,Male,nopre,type1,p4,nopc,nob/c,396500,,360.0,not_lpsm,418000.0,sb,pr,1U,7560.0,CRIF,799.0,CIB,35-44,not_inst,North,0
24930,2019,Male,nopre,type1,p3,nopc,nob/c,396500,4.99,360.0,not_lpsm,528000.0,sb,pr,1U,9060.0,EXP,766.0,CIB,35-44,to_inst,south,1
24931,2019,Female,pre,type2,p3,nopc,b/c,166500,3.99,360.0,not_lpsm,198000.0,sb,pr,1U,3480.0,CIB,868.0,CIB,35-44,to_inst,central,0
24932,2019,Male,nopre,type3,p4,nopc,nob/c,466500,,360.0,not_lpsm,,sb,pr,1U,0.0,EQUI,765.0,EXP,45-54,to_inst,North,0
24933,2019,Male,nopre,type2,p4,nopc,b/c,236500,,360.0,not_lpsm,248000.0,sb,pr,1U,3120.0,CRIF,673.0,CIB,35-44,to_inst,central,1
24934,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,866500,,360.0,not_lpsm,1508000.0,sb,pr,1U,13620.0,CRIF,876.0,EXP,35-44,not_inst,south,0
24935,2019,Joint,nopre,type1,p4,nopc,nob/c,416500,3.625,360.0,not_lpsm,528000.0,sb,pr,1U,7380.0,CRIF,886.0,EXP,45-54,not_inst,North,0
24936,2019,Sex Not Available,nopre,type2,p3,nopc,b/c,436500,3.25,360.0,not_lpsm,508000.0,sb,pr,1U,4920.0,CRIF,772.0,EXP,55-64,to_inst,south,0
24937,2019,Joint,nopre,type1,p3,nopc,nob/c,356500,4.125,360.0,not_lpsm,608000.0,sb,pr,1U,3720.0,CRIF,640.0,EXP,55-64,not_inst,North,1
24938,2019,Male,nopre,type3,p4,nopc,nob/c,386500,2.75,360.0,not_lpsm,428000.0,sb,pr,1U,,CIB,798.0,CIB,45-54,not_inst,south,1
24939,2019,Female,nopre,type1,p1,nopc,nob/c,596500,3.875,360.0,not_lpsm,668000.0,sb,pr,1U,6780.0,CRIF,858.0,EXP,25-34,not_inst,North,1
24940,2019,Sex Not Available,nopre,type1,p3,nopc,nob/c,196500,4.125,312.0,not_lpsm,338000.0,sb,pr,1U,9060.0,CIB,543.0,EXP,25-34,to_inst,south,0
24941,2019,Male,nopre,type1,p4,nopc,nob/c,206500,2.99,180.0,not_lpsm,708000.0,sb,pr,1U,9600.0,EXP,846.0,CIB,65-74,to_inst,North,1
24942,2019,Joint,nopre,type3,p3,nopc,nob/c,136500,,360.0,not_lpsm,,sb,pr,1U,3360.0,EQUI,555.0,EXP,65-74,to_inst,North,0
24943,2019,Female,nopre,type1,p3,nopc,nob/c,166500,,360.0,not_lpsm,,sb,pr,1U,4560.0,EQUI,603.0,EXP,65-74,to_inst,North,0
24944,2019,Joint,nopre,type1,p1,nopc,nob/c,606500,3.625,360.0,not_lpsm,808000.0,sb,ir,1U,22500.0,EXP,808.0,EXP,35-44,not_inst,central,1
24945,2019,Sex Not Available,nopre,type2,p4,nopc,b/c,86500,,360.0,not_lpsm,948000.0,sb,pr,1U,3300.0,CIB,519.0,EXP,55-64,to_inst,south,0
24946,2019,Female,nopre,type1,p2,nopc,nob/c,116500,,180.0,not_lpsm,128000.0,sb,ir,1U,4140.0,CIB,786.0,EXP,45-54,not_inst,south,1
24947,2019,Male,pre,type1,p3,nopc,nob/c,426500,3.5,180.0,not_lpsm,598000.0,sb,pr,1U,6000.0,CIB,769.0,CIB,45-54,not_inst,south,0
24948,2019,Male,pre,type1,p3,nopc,nob/c,166500,3.99,144.0,not_lpsm,238000.0,sb,pr,1U,6600.0,CRIF,685.0,CIB,35-44,to_inst,North,1
24949,2019,Sex Not Available,pre,type1,p3,nopc,nob/c,426500,3.375,180.0,not_lpsm,608000.0,sb,pr,1U,11340.0,CRIF,556.0,CIB,35-44,to_inst,south,0
24950,2019,Male,nopre,type1,p4,nopc,nob/c,376500,4.5,360.0,not_lpsm,718000.0,sb,pr,1U,7080.0,EXP,567.0,CIB,65-74,not_inst,North,0
24951,2019,Male,nopre,type2,p1,nopc,b/c,286500,3.25,360.0,not_lpsm,298000.0,sb,pr,1U,4800.0,CIB,632.0,CIB,35-44,not_inst,North,0
24952,2019,Joint,nopre,type1,p4,nopc,nob/c,706500,4.125,360.0,not_lpsm,888000.0,sb,pr,1U,8520.0,CIB,818.0,EXP,35-44,not_inst,south,0
24953,2019,Sex Not Available,nopre,type2,p4,nopc,b/c,146500,4.75,360.0,not_lpsm,148000.0,sb,pr,1U,2760.0,EXP,584.0,CIB,<25,to_inst,south,1
24954,2019,Joint,nopre,type1,p3,nopc,nob/c,446500,3.875,240.0,not_lpsm,628000.0,sb,pr,1U,7140.0,EXP,750.0,EXP,55-64,to_inst,North,0
24955,2019,Male,nopre,type1,p4,nopc,nob/c,286500,3.875,360.0,not_lpsm,608000.0,sb,pr,1U,5820.0,EXP,808.0,CIB,55-64,to_inst,south,1
24956,2019,Joint,nopre,type3,p3,nopc,nob/c,166500,,360.0,not_lpsm,,sb,pr,1U,2100.0,EQUI,838.0,EXP,65-74,not_inst,North,1
24957,2019,Female,nopre,type2,p4,nopc,b/c,636500,,360.0,not_lpsm,658000.0,sb,pr,1U,12000.0,CIB,741.0,CIB,65-74,to_inst,south,1
24958,2019,Female,nopre,type2,p3,nopc,b/c,226500,3.625,360.0,not_lpsm,258000.0,sb,pr,1U,3720.0,CRIF,820.0,CIB,25-34,not_inst,North,1
24959,2019,Sex Not Available,nopre,type1,p3,nopc,nob/c,316500,4.5,360.0,not_lpsm,928000.0,sb,pr,1U,5880.0,CRIF,665.0,CIB,65-74,to_inst,south,1
24960,2019,Sex Not Available,nopre,type1,p3,nopc,nob/c,156500,3.99,360.0,not_lpsm,208000.0,sb,pr,1U,3300.0,CRIF,783.0,EXP,>74,to_inst,south,1
24961,2019,Male,nopre,type1,p1,nopc,nob/c,706500,4.875,360.0,not_lpsm,748000.0,sb,pr,1U,8400.0,EXP,663.0,CIB,35-44,not_inst,south,0
24962,2019,Female,nopre,type1,p3,nopc,nob/c,196500,4.25,240.0,not_lpsm,318000.0,sb,pr,1U,5520.0,EXP,612.0,CIB,65-74,to_inst,North,0
24963,2019,Male,nopre,type3,p1,nopc,nob/c,166500,4.5,360.0,not_lpsm,168000.0,sb,pr,1U,2040.0,CRIF,739.0,CIB,65-74,to_inst,North,1
24964,2019,Male,nopre,type1,p4,nopc,nob/c,486500,3.875,360.0,not_lpsm,1198000.0,sb,pr,1U,8580.0,CIB,812.0,CIB,45-54,not_inst,North,1
24965,2019,Joint,nopre,type1,p1,nopc,nob/c,406500,4.375,360.0,not_lpsm,428000.0,sb,pr,1U,10740.0,EXP,571.0,EXP,45-54,not_inst,central,1
24966,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,146500,,360.0,not_lpsm,188000.0,sb,pr,1U,2400.0,CRIF,870.0,CIB,35-44,to_inst,south,0
24967,2019,Joint,nopre,type1,p1,nopc,nob/c,306500,4.875,360.0,not_lpsm,408000.0,sb,ir,1U,12600.0,CRIF,793.0,EXP,35-44,not_inst,North,0
24968,2019,Male,nopre,type1,p4,nopc,nob/c,266500,3.875,300.0,not_lpsm,298000.0,sb,pr,1U,5040.0,CRIF,804.0,CIB,35-44,to_inst,North,0
24969,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,436500,3.5,240.0,not_lpsm,588000.0,sb,pr,1U,7860.0,CIB,801.0,EXP,35-44,to_inst,south,1
24970,2019,Male,nopre,type1,p4,nopc,nob/c,446500,3.375,360.0,not_lpsm,1308000.0,sb,pr,1U,5700.0,CIB,711.0,CIB,55-64,not_inst,North,1
24971,2019,Female,nopre,type2,p1,nopc,b/c,216500,3.5,360.0,not_lpsm,218000.0,sb,pr,1U,2580.0,CIB,673.0,EXP,55-64,not_inst,central,0
24972,2019,Sex Not Available,nopre,type1,p1,nopc,nob/c,476500,3.99,360.0,not_lpsm,688000.0,sb,pr,1U,15180.0,CIB,634.0,EXP,45-54,to_inst,south,1
24973,2019,Male,nopre,type1,p4,nopc,nob/c,466500,3.625,360.0,not_lpsm,658000.0,sb,pr,1U,8700.0,CIB,834.0,CIB,55-64,not_inst,North,0
24974,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,326500,,240.0,not_lpsm,,sb,pr,1U,5400.0,EQUI,764.0,EXP,25-34,not_inst,south,1
24975,2019,Joint,nopre,type2,p1,nopc,b/c,656500,,360.0,not_lpsm,678000.0,sb,pr,1U,8160.0,CRIF,865.0,EXP,25-34,not_inst,North,0
24976,2019,Sex Not Available,nopre,type1,p1,nopc,nob/c,506500,,360.0,not_lpsm,808000.0,sb,ir,2U,9180.0,EXP,593.0,CIB,45-54,to_inst,south,1
24977,2019,Sex Not Available,pre,type3,p4,nopc,nob/c,246500,3.75,360.0,not_lpsm,358000.0,sb,pr,1U,,EXP,511.0,EXP,35-44,to_inst,south,1
24978,2019,Joint,pre,type1,p3,nopc,nob/c,186500,,360.0,not_lpsm,288000.0,sb,pr,1U,5640.0,CRIF,533.0,EXP,65-74,to_inst,south,1
24979,2019,Joint,nopre,type1,p3,opc,nob/c,56500,4.5,360.0,not_lpsm,2008000.0,sb,pr,1U,7980.0,EXP,677.0,EXP,65-74,to_inst,North,1
24980,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,486500,4.75,360.0,not_lpsm,578000.0,sb,sr,1U,9840.0,EXP,774.0,CIB,65-74,to_inst,south,0
24981,2019,Joint,nopre,type1,p3,nopc,nob/c,346500,3.99,360.0,not_lpsm,3408000.0,sb,pr,1U,11460.0,EXP,638.0,EXP,>74,to_inst,North,1
24982,2019,Male,pre,type1,p3,nopc,nob/c,136500,3.875,180.0,not_lpsm,348000.0,sb,pr,1U,3660.0,EXP,644.0,CIB,55-64,to_inst,North,1
24983,2019,Male,pre,type3,p1,nopc,nob/c,586500,3.5,360.0,not_lpsm,588000.0,sb,pr,1U,7140.0,EXP,732.0,CIB,35-44,to_inst,south,0
24984,2019,Female,nopre,type1,p4,nopc,nob/c,336500,,360.0,lpsm,,sb,pr,1U,7440.0,EQUI,586.0,EXP,55-64,to_inst,North,1
24985,2019,Female,nopre,type2,p3,nopc,b/c,76500,4.75,300.0,not_lpsm,88000.0,sb,pr,1U,2940.0,CIB,642.0,CIB,35-44,to_inst,North,1
24986,2019,Male,pre,type3,p4,nopc,nob/c,286500,,360.0,not_lpsm,258000.0,sb,pr,1U,,EXP,872.0,CIB,65-74,to_inst,south,0
24987,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,136500,3.625,180.0,not_lpsm,208000.0,sb,pr,1U,3000.0,EXP,898.0,CIB,55-64,to_inst,south,1
24988,2019,Sex Not Available,pre,type1,p1,nopc,nob/c,486500,3.99,360.0,not_lpsm,598000.0,sb,pr,1U,14640.0,CIB,734.0,CIB,45-54,to_inst,south,0
24989,2019,Female,nopre,type1,p1,nopc,nob/c,416500,3.75,360.0,not_lpsm,498000.0,sb,pr,1U,3840.0,CIB,639.0,CIB,25-34,not_inst,North,0
24990,2019,Male,nopre,type1,p1,nopc,nob/c,186500,4.875,360.0,not_lpsm,348000.0,sb,pr,1U,2880.0,EXP,506.0,CIB,55-64,not_inst,North,1
24991,2019,Joint,nopre,type1,p4,nopc,nob/c,186500,,360.0,not_lpsm,,sb,pr,1U,5700.0,EQUI,664.0,EXP,65-74,to_inst,North,1
24992,2019,Male,nopre,type2,p1,nopc,b/c,316500,3.375,360.0,not_lpsm,318000.0,sb,pr,1U,7680.0,EXP,670.0,CIB,45-54,not_inst,North,1
24993,2019,Male,nopre,type2,p4,nopc,b/c,346500,,360.0,not_lpsm,478000.0,sb,pr,1U,,EXP,577.0,CIB,35-44,to_inst,North,0
24994,2019,Male,nopre,type1,p4,nopc,nob/c,326500,3.25,348.0,not_lpsm,438000.0,sb,pr,1U,6840.0,EXP,857.0,CIB,55-64,to_inst,south,0
24995,2019,Joint,nopre,type1,p3,nopc,nob/c,256500,4.125,180.0,not_lpsm,818000.0,sb,pr,1U,10260.0,CRIF,653.0,EXP,55-64,to_inst,North,0
24996,2019,Male,nopre,type1,p1,nopc,nob/c,226500,,360.0,not_lpsm,408000.0,sb,pr,1U,3120.0,CRIF,595.0,CIB,<25,to_inst,North,0
24997,2019,Joint,nopre,type1,p1,nopc,nob/c,226500,4.75,360.0,not_lpsm,588000.0,sb,ir,1U,17340.0,EXP,639.0,EXP,55-64,not_inst,North,0
24998,2019,Joint,pre,type1,p1,nopc,nob/c,906500,4.375,360.0,not_lpsm,1308000.0,sb,pr,1U,12180.0,CIB,787.0,EXP,35-44,not_inst,south,0
24999,2019,Joint,nopre,type1,p4,nopc,nob/c,386500,3.5,360.0,not_lpsm,558000.0,sb,pr,1U,5520.0,CIB,560.0,EXP,45-54,to_inst,south,1
25000,2019,Joint,nopre,type2,p1,nopc,b/c,496500,,360.0,not_lpsm,508000.0,sb,pr,1U,6060.0,CRIF,613.0,EXP,25-34,not_inst,south,1
25001,2019,Sex Not Available,nopre,type1,p3,nopc,nob/c,106500,,180.0,not_lpsm,,sb,pr,1U,5220.0,EQUI,514.0,EXP,45-54,to_inst,south,1
25002,2019,Sex Not Available,nopre,type1,p3,nopc,nob/c,186500,3.99,360.0,not_lpsm,528000.0,sb,pr,1U,2640.0,EXP,867.0,EXP,45-54,to_inst,south,1
25003,2019,Female,nopre,type1,p4,nopc,nob/c,246500,4.875,360.0,not_lpsm,288000.0,sb,pr,1U,4920.0,CRIF,717.0,CIB,55-64,to_inst,North,1
25004,2019,Sex Not Available,nopre,type1,p1,nopc,nob/c,126500,,324.0,not_lpsm,,sb,pr,1U,4800.0,EQUI,872.0,EXP,>74,to_inst,south,0
25005,2019,Sex Not Available,pre,type2,p1,nopc,b/c,226500,3.875,360.0,not_lpsm,228000.0,sb,pr,1U,4200.0,EXP,619.0,CIB,45-54,to_inst,south,1
25006,2019,Male,nopre,type3,p4,nopc,nob/c,416500,2.99,360.0,not_lpsm,508000.0,sb,pr,1U,,EXP,668.0,CIB,45-54,to_inst,central,1
25007,2019,Joint,nopre,type1,p4,nopc,nob/c,146500,4.125,360.0,not_lpsm,208000.0,sb,pr,1U,8160.0,EXP,640.0,EXP,45-54,to_inst,North,0
25008,2019,Female,pre,type2,p4,nopc,b/c,216500,,360.0,not_lpsm,,sb,pr,1U,4440.0,EQUI,600.0,EXP,55-64,to_inst,North,0
25009,2019,Male,nopre,type1,p4,nopc,nob/c,396500,3.375,360.0,not_lpsm,768000.0,sb,pr,1U,11400.0,CRIF,524.0,CIB,55-64,not_inst,North,1
25010,2019,Female,nopre,type1,p1,nopc,nob/c,246500,4.75,360.0,not_lpsm,318000.0,sb,pr,1U,3240.0,EXP,883.0,CIB,25-34,not_inst,North,1
25011,2019,Sex Not Available,nopre,type3,p3,nopc,nob/c,316500,4.25,360.0,not_lpsm,388000.0,sb,pr,1U,3300.0,CIB,503.0,EXP,65-74,to_inst,south,1
25012,2019,Joint,pre,type1,p1,nopc,nob/c,296500,4.25,360.0,not_lpsm,318000.0,sb,pr,1U,3840.0,CRIF,887.0,EXP,45-54,not_inst,North,0
25013,2019,Male,nopre,type3,p4,nopc,nob/c,436500,3.99,360.0,not_lpsm,558000.0,sb,pr,1U,,CRIF,604.0,EXP,65-74,to_inst,North,0
25014,2019,Female,pre,type1,p3,nopc,nob/c,226500,,360.0,not_lpsm,288000.0,sb,pr,1U,6600.0,CRIF,644.0,CIB,35-44,to_inst,south,0
25015,2019,Joint,nopre,type3,p4,nopc,nob/c,506500,3.125,360.0,not_lpsm,578000.0,sb,pr,1U,,CRIF,648.0,EXP,35-44,not_inst,central,0
25016,2019,Male,nopre,type1,p4,nopc,nob/c,296500,3.625,360.0,not_lpsm,608000.0,sb,pr,1U,8400.0,CIB,797.0,CIB,35-44,not_inst,south,1
25017,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,386500,3.625,360.0,not_lpsm,598000.0,sb,pr,1U,5820.0,EXP,806.0,CIB,25-34,to_inst,south,0
25018,2019,Joint,nopre,type1,p3,nopc,nob/c,106500,4.5,120.0,not_lpsm,618000.0,sb,pr,1U,6540.0,CRIF,845.0,EXP,55-64,to_inst,central,1
25019,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,706500,4.0,360.0,not_lpsm,898000.0,sb,pr,1U,15240.0,CRIF,815.0,CIB,45-54,not_inst,North,0
25020,2019,Male,nopre,type1,p3,nopc,nob/c,176500,3.75,180.0,not_lpsm,278000.0,sb,pr,1U,5280.0,CIB,585.0,CIB,45-54,to_inst,North,0
25021,2019,Joint,nopre,type1,p1,nopc,nob/c,496500,5.19,360.0,not_lpsm,588000.0,sb,pr,1U,8280.0,CIB,729.0,EXP,35-44,not_inst,south,1
25022,2019,Female,nopre,type1,p3,nopc,nob/c,606500,4.875,360.0,not_lpsm,978000.0,sb,pr,1U,16740.0,EXP,538.0,CIB,65-74,not_inst,North,0
25023,2019,Female,nopre,type2,p1,nopc,b/c,126500,4.49,360.0,not_lpsm,138000.0,sb,pr,1U,2220.0,CIB,629.0,CIB,65-74,to_inst,North,0
25024,2019,Male,nopre,type2,p3,nopc,b/c,156500,3.375,180.0,not_lpsm,198000.0,sb,pr,1U,3780.0,CIB,791.0,CIB,55-64,to_inst,North,0
25025,2019,Female,nopre,type1,p4,nopc,nob/c,196500,,360.0,not_lpsm,208000.0,sb,pr,1U,5580.0,CRIF,671.0,CIB,55-64,to_inst,North,0
25026,2019,Joint,nopre,type1,p3,nopc,nob/c,256500,4.5,360.0,not_lpsm,1308000.0,sb,pr,1U,11760.0,CIB,787.0,EXP,45-54,to_inst,North,1
25027,2019,Male,nopre,type1,p3,nopc,nob/c,1376500,,360.0,not_lpsm,1708000.0,sb,pr,1U,54300.0,EXP,572.0,CIB,55-64,not_inst,North,0
25028,2019,Sex Not Available,nopre,type1,p4,nopc,nob/c,376500,3.875,360.0,not_lpsm,608000.0,sb,pr,1U,4680.0,CIB,755.0,CIB,35-44,not_inst,south,0
25029,2019,Joint,nopre,type1,p4,nopc,nob/c,296500,4.375,360.0,not_lpsm,438000.0,sb,pr,1U,4140.0,CRIF,670.0,EXP,65-74,to_inst,North,0
25030,2019,Joint,nopre,type1,p4,nopc,nob/c,566500,,360.0,not_lpsm,,sb,pr,1U,8580.0,EQUI,760.0,EXP,45-54,not_inst,North,1
25031,2019,Joint,pre,type1,p1,nopc,nob/c,416500,3.875,360.0,not_lpsm,858000.0,sb,pr,1U,10020.0,CIB,578.0,EXP,35-44,to_inst,south,0
25032,2019,Female,nopre,type1,p4,nopc,nob/c,476500,4.125,360.0,not_lpsm,808000.0,sb,pr,1U,9000.0,CIB,648.0,CIB,45-54,not_inst,North,1
25033,2019,Sex Not Available,nopre,type3,p4,nopc,nob/c,686500,,360.0,not_lpsm,,sb,pr,1U,0.0,EQUI,836.0,EXP,45-54,to_inst,south,1
25034,2019,Joint,nopre,type1,p3,nopc,nob/c,556500,,240.0,not_lpsm,,sb,ir,2U,25680.0,EQUI,900.0,EXP,45-54,not_inst,south,1
25035,2019,Female,nopre,type1,p3,nopc,nob/c,266500,4.875,360.0,not_lpsm,568000.0,sb,pr,1U,8580.0,CIB,777.0,EXP,55-64,to_inst,North,1
25036,2019,Joint,nopre,type1,p1,nopc,nob/c,406500,3.75,360.0,not_lpsm,458000.0,sb,pr,1U,7080.0,EXP,765.0,EXP,35-44,not_inst,North,0
25037,2019,Male,nopre,type3,p4,nopc,nob/c,256500,2.875,360.0,not_lpsm,758000.0,sb,pr,1U,,CRIF,534.0,CIB,65-74,not_inst,North,1
25038,2019,Joint,nopre,type3,p1,nopc,nob/c,236500,5.125,360.0,not_lpsm,238000.0,sb,pr,1U,4920.0,CIB,667.0,EXP,65-74,not_inst,central,1
25039,2019,Male,nopre,type2,p3,nopc,b/c,656500,,360.0,not_lpsm,,sb,pr,1U,8640.0,EQUI,880.0,EXP,35-44,to_inst,North,1
25040,2019,Male,nopre,type1,p3,nopc,nob/c,156500,4.625,360.0,not_lpsm,258000.0,sb,pr,1U,3960.0,CIB,820.0,CIB,45-54,to_inst,south,1
25041,2019,Male,pre,type1,p1,nopc,nob/c,406500,4.0,360.0,not_lpsm,478000.0,sb,pr,1U,3600.0,EXP,568.0,CIB,25-34,not_inst,North,1
25042,2019,Female,nopre,type1,p3,nopc,nob/c,476500,4.875,360.0,not_lpsm,638000.0,sb,pr,1U,6180.0,EXP,805.0,EXP,>74,to_inst,south,1
